#separator:tab
#html:true
Mit welchen Geräten bzw. Verfahren kann man Metabolite trennen und bestimmen?	<ul><li>Gas-Chromatografie-Massenspektrometrie<br></li><li>Flüssigchromatografie-Massenspektrometrie<br></li><li>Hochleistungsflüssigkeits-Chromatographie<br></li></ul>
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".4738"" data-top="".0835"" data-width="".1894"" data-height="".1376"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".4869"" data-top="".2626"" data-width="".1798"" data-height="".1266"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".4714"" data-top="".4132"" data-width="".2084"" data-height="".1179"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""4"" data-shape=""rect"" data-left="".4786"" data-top="".577"" data-width="".1882"" data-height="".1135"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".4821"" data-top="".7276"" data-width="".1775"" data-height="".1354"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".4667"" data-top="".8825"" data-width="".2013"" data-height="".107"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""7"" data-shape=""rect"" data-left="".2308"" data-top="".2025"" data-width="".156"" data-height="".1987"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".7459"" data-top="".2254"" data-width="".1596"" data-height="".1659"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""genom annotation.PNG"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".4738"" data-top="".0835"" data-width="".1894"" data-height="".1376"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".4869"" data-top="".2626"" data-width="".1798"" data-height="".1266"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".4714"" data-top="".4132"" data-width="".2084"" data-height="".1179"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""4"" data-shape=""rect"" data-left="".4786"" data-top="".577"" data-width="".1882"" data-height="".1135"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".4821"" data-top="".7276"" data-width="".1775"" data-height="".1354"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".4667"" data-top="".8825"" data-width="".2013"" data-height="".107"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""7"" data-shape=""rect"" data-left="".2308"" data-top="".2025"" data-width="".156"" data-height="".1987"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".7459"" data-top="".2254"" data-width="".1596"" data-height="".1659"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""genom annotation.PNG"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
Was ist die Bedeutung des GC-Gehalts?&nbsp;	<ul><li>Taxonomisches Merkmal bei Mikroorganismen</li><li>Hinweis auf Ursprung/Herkunft eines Replikons oder einer Region</li><li>In Kodierregionen oft höher</li></ul>
Was ist die Definition von GC skew? 	Maß für die Asymmetrie der Verteilung von Guanin (G) und Cytosin (C) in einer DNA-Sequenz
Was ist der Begriff zu Maß für die Asymmetrie der Verteilung von Guanin (G) und Cytosin (C) in einer DNA-Sequenz?	GC skew
Was ist die Definition von Formel für&nbsp;GC Gehalt? 	"<img src=""paste-084adca7ca96ac165c3b004607b7e9429cfed8fd.jpg"">"
"Was ist der Begriff zu <img src=""paste-084adca7ca96ac165c3b004607b7e9429cfed8fd.jpg"">?"	Formel für&nbsp;GC Gehalt
Was ist die Definition von Formel für&nbsp;GC Skew? 	"<img src=""paste-c6c91e8996f49555bf1235403c98ce83dac69d8f.jpg"">"
"Was ist der Begriff zu <img src=""paste-c6c91e8996f49555bf1235403c98ce83dac69d8f.jpg"">?"	Formel für&nbsp;GC Skew
Wie kann man Gene lokalisieren?	Durch Computeranalyse (Das Auffinden von Sequenzmerkmalen, die mit Genen assoziiert) oder experimentelle Analyse (z.B. Analyse und Charakterisierung von Mutanten).
Wichtige&nbsp;Startcodon für ORFs (E. coli)	<ul><li>ATG<br></li><li>ATG<br></li><li>TTG</li></ul>
Wichtige&nbsp;Stoppcodons für ORFs (E. coli)	<ul><li>TAA</li><li>TAG</li><li>TGA</li></ul>
Was ist die Definition von Genom-Annotation? 	Identifizierung der Lage aller Gene und Kodierregionen in einem Genom + Bestimmung der Funktion der Gene
Was ist der Begriff zu Identifizierung der Lage aller Gene und Kodierregionen in einem Genom + Bestimmung der Funktion der Gene?	Genom-Annotation
Was ist die Definition von Ribosome Binding Site (RBS)? 	Eine kurze Sequenz (~5–10 bp) im 5'-UTR prokaryotischer mRNAs. Sie ist komplementär zur 3'-Region der 16S rRNA der kleinen Ribosomenuntereinheit.&nbsp;
Was ist der Begriff zu Eine kurze Sequenz (~5–10 bp) im 5'-UTR prokaryotischer mRNAs. Sie ist komplementär zur 3'-Region der 16S rRNA der kleinen Ribosomenuntereinheit.&nbsp;?	Ribosome Binding Site (RBS)
Wie gibt es für eine Sequenz verschiedene Leseraster und wie viele Leseraster kann es geben?	Da ein Codon 3 Basen umfasst, kann man an Position 1, 2 oder 3 beginnen. Also gibt es drei verschiedene Einteilungen desselben Strangs in Tripletts. Zusätzlich kann der komplementäre Gegenstrang in 3'-→5'-Richtung gelesen werden, was ebenfalls 3 Leseraster ergibt. Also insgesamt 6.
Was ist die Definition von ORF-Scanning? 	Mit Computerprogrammen nach Genen scanne, durch Suche nach Start / Stopp im ORF
Was ist der Begriff zu Mit Computerprogrammen nach Genen scanne, durch Suche nach Start / Stopp im ORF?	ORF-Scanning
Ablauf ORF-Scanning	"<ol><li>Festlegung von minimaler ORF länge</li><li>Suche nach ""Stop""</li><li>Anschließend suche nach entferntestem ""Start""</li></ol><div>Hierbei werden alle sechs Leseraster gescannt<br></div>"
Was ist der Begriff zu origin of conjugal transfer?	OriT
Was ist der Begriff zu transfer functions / Region in der für die transfer functions codiert wird?	tra(-Region)
Was ist der Begriff zu Künstliches Chromosom mit Telomeren Centromer und Replikationsursprung<br><br>Große Aufnahmegröße?	YAC – Yeast Artificial Chromosome
"<div>Schematic structure of a prokaryotic gene</div>
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1151"" data-top="".0259"" data-width="".2786"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""2"" data-shape=""rect"" data-left="".0955"" data-top="".6076"" data-width="".356"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".4432"" data-top="".1743"" data-width="".225"" data-height="".1929"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".7621"" data-top="".5868"" data-width="".2023"" data-height="".3175"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""Bildschirmfoto vom 2026-04-01 10-20-02.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"<div>Schematic structure of a prokaryotic gene</div>
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1151"" data-top="".0259"" data-width="".2786"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""2"" data-shape=""rect"" data-left="".0955"" data-top="".6076"" data-width="".356"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".4432"" data-top="".1743"" data-width="".225"" data-height="".1929"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".7621"" data-top="".5868"" data-width="".2023"" data-height="".3175"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""Bildschirmfoto vom 2026-04-01 10-20-02.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"<div>Schematic structure of a prokaryotic gene</div>
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1151"" data-top="".0259"" data-width="".2786"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".0955"" data-top="".6076"" data-width="".356"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""3"" data-shape=""rect"" data-left="".4432"" data-top="".1743"" data-width="".225"" data-height="".1929"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".7621"" data-top="".5868"" data-width="".2023"" data-height="".3175"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""Bildschirmfoto vom 2026-04-01 10-20-02.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"<div>Schematic structure of a prokaryotic gene</div>
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1151"" data-top="".0259"" data-width="".2786"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".0955"" data-top="".6076"" data-width="".356"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""3"" data-shape=""rect"" data-left="".4432"" data-top="".1743"" data-width="".225"" data-height="".1929"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".7621"" data-top="".5868"" data-width="".2023"" data-height="".3175"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""Bildschirmfoto vom 2026-04-01 10-20-02.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"<div>Schematic structure of a prokaryotic gene</div>
<div style=""display: none""><div class=""cloze"" data-ordinal=""1"" data-shape=""rect"" data-left="".1151"" data-top="".0259"" data-width="".2786"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".0955"" data-top="".6076"" data-width="".356"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".4432"" data-top="".1743"" data-width="".225"" data-height="".1929"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".7621"" data-top="".5868"" data-width="".2023"" data-height="".3175"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""Bildschirmfoto vom 2026-04-01 10-20-02.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"<div>Schematic structure of a prokaryotic gene</div>
<div style=""display: none""><div class=""cloze-highlight"" data-ordinal=""1"" data-shape=""rect"" data-left="".1151"" data-top="".0259"" data-width="".2786"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".0955"" data-top="".6076"" data-width="".356"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".4432"" data-top="".1743"" data-width="".225"" data-height="".1929"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".7621"" data-top="".5868"" data-width="".2023"" data-height="".3175"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""Bildschirmfoto vom 2026-04-01 10-20-02.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"<div>Schematic structure of a prokaryotic gene</div>
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1151"" data-top="".0259"" data-width="".2786"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".0955"" data-top="".6076"" data-width="".356"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".4432"" data-top="".1743"" data-width="".225"" data-height="".1929"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""4"" data-shape=""rect"" data-left="".7621"" data-top="".5868"" data-width="".2023"" data-height="".3175"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""Bildschirmfoto vom 2026-04-01 10-20-02.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"<div>Schematic structure of a prokaryotic gene</div>
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1151"" data-top="".0259"" data-width="".2786"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".0955"" data-top="".6076"" data-width="".356"" data-height="".3769"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".4432"" data-top="".1743"" data-width="".225"" data-height="".1929"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""4"" data-shape=""rect"" data-left="".7621"" data-top="".5868"" data-width="".2023"" data-height="".3175"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""Bildschirmfoto vom 2026-04-01 10-20-02.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze"" data-ordinal=""1"" data-shape=""rect"" data-left="".0057"" data-top="".0121"" data-width="".1631"" data-height="".1568"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-4982dc9f61a6e290b620565a2394c297cb0d0725.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-highlight"" data-ordinal=""1"" data-shape=""rect"" data-left="".0057"" data-top="".0121"" data-width="".1631"" data-height="".1568"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-4982dc9f61a6e290b620565a2394c297cb0d0725.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze"" data-ordinal=""1"" data-shape=""rect"" data-left="".0088"" data-top="".0121"" data-width="".1476"" data-height="".1423"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-bac756b0e3a297c8068e40bfb26baffb4bba8663.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-highlight"" data-ordinal=""1"" data-shape=""rect"" data-left="".0088"" data-top="".0121"" data-width="".1476"" data-height="".1423"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-bac756b0e3a297c8068e40bfb26baffb4bba8663.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze"" data-ordinal=""1"" data-shape=""rect"" data-left="".1925"" data-top="".1194"" data-width="".0888"" data-height="".0977"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".2998"" data-top="".1146"" data-width="".0578"" data-height="".0953"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".3514"" data-top="".0455"" data-width="".1042"" data-height="".1287"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".3762"" data-top="".3362"" data-width="".0702"" data-height="".0977"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".8055"" data-top="".1956"" data-width="".0826"" data-height="".0977"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-db1d7d951c91b49bfb6c17f0bea67860ccb6d746.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-highlight"" data-ordinal=""1"" data-shape=""rect"" data-left="".1925"" data-top="".1194"" data-width="".0888"" data-height="".0977"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".2998"" data-top="".1146"" data-width="".0578"" data-height="".0953"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".3514"" data-top="".0455"" data-width="".1042"" data-height="".1287"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".3762"" data-top="".3362"" data-width="".0702"" data-height="".0977"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".8055"" data-top="".1956"" data-width="".0826"" data-height="".0977"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-db1d7d951c91b49bfb6c17f0bea67860ccb6d746.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1925"" data-top="".1194"" data-width="".0888"" data-height="".0977"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".2998"" data-top="".1146"" data-width="".0578"" data-height="".0953"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".3514"" data-top="".0455"" data-width="".1042"" data-height="".1287"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""4"" data-shape=""rect"" data-left="".3762"" data-top="".3362"" data-width="".0702"" data-height="".0977"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".8055"" data-top="".1956"" data-width="".0826"" data-height="".0977"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-db1d7d951c91b49bfb6c17f0bea67860ccb6d746.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1925"" data-top="".1194"" data-width="".0888"" data-height="".0977"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".2998"" data-top="".1146"" data-width="".0578"" data-height="".0953"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".3514"" data-top="".0455"" data-width="".1042"" data-height="".1287"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""4"" data-shape=""rect"" data-left="".3762"" data-top="".3362"" data-width="".0702"" data-height="".0977"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".8055"" data-top="".1956"" data-width="".0826"" data-height="".0977"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-db1d7d951c91b49bfb6c17f0bea67860ccb6d746.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1925"" data-top="".1194"" data-width="".0888"" data-height="".0977"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""2"" data-shape=""rect"" data-left="".2998"" data-top="".1146"" data-width="".0578"" data-height="".0953"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".3514"" data-top="".0455"" data-width="".1042"" data-height="".1287"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".3762"" data-top="".3362"" data-width="".0702"" data-height="".0977"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".8055"" data-top="".1956"" data-width="".0826"" data-height="".0977"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-db1d7d951c91b49bfb6c17f0bea67860ccb6d746.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1925"" data-top="".1194"" data-width="".0888"" data-height="".0977"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""2"" data-shape=""rect"" data-left="".2998"" data-top="".1146"" data-width="".0578"" data-height="".0953"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".3514"" data-top="".0455"" data-width="".1042"" data-height="".1287"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".3762"" data-top="".3362"" data-width="".0702"" data-height="".0977"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".8055"" data-top="".1956"" data-width="".0826"" data-height="".0977"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-db1d7d951c91b49bfb6c17f0bea67860ccb6d746.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
